1792	2048	256	1787	2038	396
2048	2048	256	2025	2042	403
2303	2048	256	2264	2048	403
2559	2048	256	2505	2056	411
2815	2048	256	2748	2063	418
3071	2048	256	2991	2071	425
3327	2048	256	3234	2080	432
3583	2048	256	3479	2091	438
3839	2048	256	3724	2102	445
4095	2048	256	3968	2113	458
0	2303	256	610	2274	411
256	2303	256	648	2274	411
512	2303	256	761	2275	411
768	2303	256	930	2276	418
1024	2303	256	1130	2278	418
1280	2303	256	1346	2281	418
1536	2303	256	1573	2284	425
1792	2303	256	1805	2287	425
2048	2303	256	2040	2292	432
2303	2303	256	2277	2297	432
2559	2303	256	2517	2303	438
2815	2303	256	2758	2309	445
3071	2303	256	3001	2316	451
3327	2303	256	3243	2324	458
3583	2303	256	3487	2333	464
3839	2303	256	3731	2343	470
4095	2303	256	3975	2354	482
0	2559	256	677	2527	445
256	2559	256	711	2527	445
512	2559	256	814	2528	445
768	2559	256	972	2529	445
1024	2559	256	1163	2530	445
1280	2559	256	1375	2532	451
1536	2559	256	1596	2535	451
1792	2559	256	1824	2538	451
2048	2559	256	2057	2542	458
2303	2559	256	2292	2547	464
2559	2559	256	2530	2552	470
2815	2559	256	2770	2558	470
3071	2559	256	3011	2564	476
3327	2559	256	3253	2571	482
3583	2559	256	3496	2579	494
3839	2559	256	3739	2588	499
4095	2559	256	3983	2597	505
0	2815	256	747	2780	476
256	2815	256	775	2780	476
512	2815	256	868	2780	476
768	2815	256	1019	2781	476
1024	2815	256	1200	2782	476
1280	2815	256	1405	2785	482
1536	2815	256	1621	2787	482
1792	2815	256	1845	2790	488
2048	2815	256	2075	2793	488
2303	2815	256	2308	2798	494
2559	2815	256	2545	2802	499
2815	2815	256	2783	2808	499
3071	2815	256	3023	2813	505
3327	2815	256	3264	2820	511
3583	2815	256	3505	2827	522
3839	2815	256	3748	2835	527
4095	2815	256	3991	2842	532
0	3071	256	814	3033	511
256	3071	256	838	3033	511
512	3071	256	927	3033	511
768	3071	256	1066	3034	511
1024	3071	256	1241	3035	511
1280	3071	256	1437	3037	511
1536	3071	256	1648	3039	516
1792	3071	256	1869	3042	516
2048	3071	256	2097	3045	522
2303	3071	256	2327	3048	522
2559	3071	256	2561	3053	527
2815	3071	256	2798	3057	532
3071	3071	256	3036	3062	537
3327	3071	256	3276	3068	543
3583	3071	256	3516	3075	548
3839	3071	256	3759	3082	558
4095	3071	256	4001	3089	563
0	3327	256	880	3285	543
256	3327	256	905	3285	543
512	3327	256	985	3286	543
768	3327	256	1115	3286	543
1024	3327	256	1282	3288	543
1280	3327	256	1473	3289	548
1536	3327	256	1679	3291	548
